id;Institución;Asignado;Usado;Porcentaje Asignado;Porcentaje Usado;Tasa Utilizacion;Fecha
1;BANCO DE CHILE ;49000000.0;47751530.11749999;0.20864666497317844;0.2033305613547482;0.9745210228061223;2020-09-11 00:00:00
2;BCO INTERNACIONAL;1670721.50134;1107634.0313;0.007114091211297402;0.004716411155949839;0.6629674846535605;2020-09-11 00:00:00
3;BANCOESTADO    ;39600000.0;37836329.012099996;0.16862057005995645;0.16111069108576692;0.955462853840909;2020-09-11 00:00:00
4;SCOTIABANK;16273000.0;15263723.803599998;0.06929198324711291;0.06499438911618077;0.9379784799115097;2020-09-11 00:00:00
5;BCI            ;49800000.0;47986664.97149998;0.21205314113600585;0.20433178794874926;0.96358765003012;2020-09-11 00:00:00
6;ITAU CORPBANCA      ;20776100.036;19539651.7746;0.08846661191143944;0.08320169750015383;0.9404869894129538;2020-09-11 00:00:00
7;BCO BICE       ;1828000.0;1444509.2675;0.007783798032060616;0.006150857983402529;0.7902129472100657;2020-09-11 00:00:00
8;BANCO SANTANDER;53322500.1;51086407.0413;0.22705228191626478;0.21753078478835805;0.9580647371277327;2020-09-11 00:00:00
9;BCO SECURITY   ;1646000.0;1271566.3226999997;0.007008824705017382;0.005414450459664558;0.7725190295868771;2020-09-11 00:00:00
10;BANCO CONSORCIO;856933.336;631677.3353;0.003648903727770207;0.002689742231622229;0.7371370779535178;2020-09-11 00:00:00
11;COOPEUCH;73537.36000000002;51571.430199999995;0.00031312907989657177;0.00021959605957402154;0.7012956434661237;2020-09-11 00:00:00
12;BANCO DE CHILE ;33500000.0;31740834.8211;0.181234108958268;0.17171707213115295;0.9474876066;2020-07-03 00:00:00
13;BCO INTERNACIONAL;1370721.50134;725393.2557000001;0.007415566863441619;0.003924358219138106;0.5292054257490415;2020-07-03 00:00:00
14;BANCOESTADO    ;26600000.0;24778911.3788;0.14390529248626652;0.13405325148336436;0.9315380217593985;2020-07-03 00:00:00
15;SCOTIABANK;15073000.0;13413657.700500002;0.08154452908441712;0.07256753137974113;0.889912937072912;2020-07-03 00:00:00
16;BCI            ;44800000.0;42548159.0005;0.24236680839792255;0.23018440848568142;0.9497356919754465;2020-07-03 00:00:00
17;ITAU CORPBANCA      ;17976100.036;15836405.0071;0.09725022306176563;0.08567452986758274;0.88097000881087;2020-07-03 00:00:00
18;BCO BICE       ;1168000.0;790657.9550000001;0.006318848933231552;0.004277438506423622;0.676933180650685;2020-07-03 00:00:00
19;BANCO SANTANDER;42322500.1;39823111.97579999;0.2289635998361107;0.21544197656356545;0.9409442230895049;2020-07-03 00:00:00
20;BCO SECURITY   ;1528000.0;941658.6878000001;0.008266439357857716;0.0050943484545147725;0.61626877473822;2020-07-03 00:00:00
21;BANCO CONSORCIO;441933.336;332643.8538;0.0023908475931019363;0.0017995944013100705;0.7527014296110941;2020-07-03 00:00:00
22;COOPEUCH;63537.36000000001;34183.515100000004;0.0003437354276167373;0.00018493190746895523;0.538006538200517;2020-07-03 00:00:00
23;BANCO DE CHILE ;19009666.68;15080388.7603;0.14631236190338676;0.11606975204158494;0.7933010617259282;2020-05-29 00:00:00
24;BCO INTERNACIONAL;620721.50134;256245.2624;0.004777528742301526;0.00197225181269181;0.4128184086531937;2020-05-29 00:00:00
25;BANCOESTADO    ;13100000.0;8876259.580699999;0.10082722507443599;0.06831821546277539;0.6775770672290076;2020-05-29 00:00:00
26;SCOTIABANK;13073000.0;8906726.806400001;0.10061941323649631;0.06855271361720652;0.6813070302455443;2020-05-29 00:00:00
