id;Tipo de Empresa;Asignado;Usado;Porcentaje Asignado;Porcentaje Usado;Tasa Utilizacion;Fecha
1;MYPE;78290798.0605;76566727.3505;0.3333696717022839;0.326028414481479;0.977978628999698;2020-09-11 00:00:00
2;Medianas Empresas;63524239.2995;61417680.38;0.2704922586693631;0.2615223302382778;0.9668385022358452;2020-09-11 00:00:00
3;Grandes Empresas I;72675000.0;69882840.72649999;0.3094570689168519;0.2975677889068578;0.9615801957550738;2020-09-11 00:00:00
4;Grandes Empresas II;20356754.97334;16104016.650599997;0.08668100071150112;0.0685724360575556;0.7910895755089868;2020-09-11 00:00:00
5;MYPE;55297798.0605;52840206.41089999;0.29915961668205837;0.2858641112253856;0.9555571517167606;2020-07-03 00:00:00
6;Medianas Empresas;51154239.2995;48445529.8941;0.2767430739965044;0.26208902816024915;0.9470481930238287;2020-07-03 00:00:00
7;Grandes Empresas I;60275000.0;56561085.761999995;0.3260861467898388;0.3059939695459178;0.9383838367814185;2020-07-03 00:00:00
8;Grandes Empresas II;18116754.97334;13118795.084199999;0.09801116253159835;0.07097233246839083;0.72412499388026;2020-07-03 00:00:00
9;MYPE;37234307.995850004;29379898.022499997;0.28658259181591145;0.22612928172355604;0.7890544931243134;2020-05-29 00:00:00
10;Medianas Empresas;36012358.949250005;28026799.983899996;0.2771775741402603;0.2157148450452583;0.7782550435920189;2020-05-29 00:00:00
11;Grandes Empresas I;41693829.6853;29379435.3479;0.3209063473202247;0.22612572063988962;0.7046470801471689;2020-05-29 00:00:00
12;Grandes Empresas II;14984729.322499998;6780690.6493999995;0.11533348672360366;0.052189177272303613;0.4525067155680016;2020-05-29 00:00:00
13;MYPE;83103798.0605;81380636.2237;0.34092496250101845;0.3338558645980978;0.9792649448398794;2020-10-30 00:00:00
14;Medianas Empresas;65624239.2995;63995315.42120001;0.2692168329785876;0.2625343368100954;0.9751780150796748;2020-10-30 00:00:00
15;Grandes Empresas I;74675000.0;72369776.34990002;0.3063466672874516;0.2968897194125223;0.9691299142939407;2020-10-30 00:00:00
16;Grandes Empresas II;20356754.97334;16816032.5639;0.08351153723294227;0.06898608011982624;0.8260664622589864;2020-10-30 00:00:00
17;MYPE;47277798.0605;44098895.9048;0.29161542164824833;0.2720075521927651;0.932761205341415;2020-06-19 00:00:00
18;Medianas Empresas;46154239.2995;42505299.71700001;0.28468516949445055;0.26217804990402377;0.9209403158218767;2020-06-19 00:00:00
19;Grandes Empresas I;52575000.0;47573581.2629;0.3242892313541582;0.29343984974817733;0.90487078008369;2020-06-19 00:00:00
20;Grandes Empresas II;16116754.97334;10701345.554599997;0.09941017750314284;0.06600724915561523;0.6639888471532849;2020-06-19 00:00:00
21;MYPE;72230798.0605;69061667.65140001;0.32447706246240143;0.310240612730201;0.9561249426256437;2020-08-07 00:00:00
22;Medianas Empresas;60384239.2995;57616683.0551;0.27125964426583316;0.2588271564006122;0.954167572921252;2020-08-07 00:00:00
23;Grandes Empresas I;69875000.0;65997947.18470001;0.3138942853790664;0.29647768827229737;0.9445144498704832;2020-08-07 00:00:00
24;Grandes Empresas II;20116754.97334;15181008.8553;0.09036900789269896;0.06819652130186293;0.7546450148355853;2020-08-07 00:00:00
25;MYPE;42277798.0605;38919094.3604;0.2827496373704075;0.2602869667299231;0.920556323787401;2020-06-12 00:00:00
26;Medianas Empresas;42154239.2995;38284191.6868;0.2819232888738114;0.25604080186416994;0.9081931573903196;2020-06-12 00:00:00
27;Grandes Empresas I;48975000.0;42476154.3463;0.32753984657383395;0.2840762241476997;0.8673027942072485;2020-06-12 00:00:00
28;Grandes Empresas II;16116754.97334;9447092.0456;0.1077872271819471;0.0631811961038226;0.5861658914109685;2020-06-12 00:00:00
29;MYPE;36568510.054275006;23265942.528799996;0.2935261745933469;0.18674983199073394;0.636228889125334;2020-05-22 00:00:00
30;Medianas Empresas;35333228.59843001;21209869.270200003;0.283610883001151;0.17024625234297686;0.6002810983183813;2020-05-22 00:00:00
31;Grandes Empresas I;40263829.6853;19903549.851299997;0.3231875699738147;0.15976075700128473;0.49432828438986326;2020-05-22 00:00:00
32;Grandes Empresas II;12417904.004579999;4552543.0733;0.0996753724316875;0.03654211098548627;0.3666112309791509;2020-05-22 00:00:00
33;MYPE;78790798.0605;76861504.3216;0.33407619107721015;0.3258959070894034;0.9755137175102787;2020-09-17 00:00:00
34;Medianas Empresas;64024239.2995;61683128.344699994;0.27146538083507077;0.2615389750881945;0.9634339903071946;2020-09-17 00:00:00
35;Grandes Empresas I;72675000.0;70226367.45880003;0.30814495834771816;0.29776265669767443;0.9663070857764022;2020-09-17 00:00:00
36;Grandes Empresas II;20356754.97334;16173029.9398;0.08631346974000081;0.06857430529282518;0.794479766592506;2020-09-17 00:00:00
37;MYPE;65680798.0605;62956072.6135;0.315626191658395;0.3025326431397066;0.9585156464680864;2020-07-24 00:00:00
38;Medianas Empresas;57324239.2995;54587454.147300005;0.2754691153897035;0.2623176144871039;0.9522578025344356;2020-07-24 00:00:00
