id;Institución;Tamaño;tregistradas numero;tregistradas monto;tevaluacion numero;tevaluacion monto;taprobadas sinc numero;taprobadas sinc monto;taprobadas noc numero;taprobadas noc monto;tcursadas numero;tcursadas monto;trechazadas fi numero;trechazadas fi monto;trechazadas ncrp numero;trechazadas ncrp monto;trechazadas ncri numero;trechazadas ncri monto;Fecha
1;Banco de Chile;Micro y Pequeñas Empresas;97.0;64492.05097976296;197.0;293763.6424231432;1177.0;786353.3215673417;0.0;0.0;29685.0;24134228.76090854;2.0;1918.368201128698;173.0;133049.29857482683;807.0;617114.2859135966;2020-09-11 00:00:00
2;Banco de Chile;Medianas Empresas;17.0;53958.46558447447;79.0;523575.0012207797;232.0;1043491.1510906795;0.0;0.0;5045.0;17617027.098694813;1.0;17439.7109193518;26.0;139029.37544907254;157.0;911176.0643455574;2020-09-11 00:00:00
3;Banco de Chile;Empresas Grandes I;2.0;18486.09357451291;85.0;1858368.6196817602;189.0;2805351.8984869304;0.0;0.0;1378.0;15498982.227190603;0.0;0.0;16.0;416704.4527069919;123.0;3352679.7859798674;2020-09-11 00:00:00
4;Banco de Chile;Empresas Grandes II;0.0;0.0;15.0;675614.4010156888;31.0;1108258.7495029683;0.0;0.0;142.0;4095635.794413712;0.0;0.0;9.0;590299.3351982197;12.0;722004.0320611645;2020-09-11 00:00:00
5;Internacional;Micro y Pequeñas Empresas;0.0;0.0;13.0;26892.034237640477;5.0;7080.522633256831;0.0;0.0;106.0;168444.32546686105;9.0;24276.077599737706;5.0;7499.075695321274;16.0;32019.309247929905;2020-09-11 00:00:00
6;Internacional;Medianas Empresas;0.0;0.0;28.0;128984.10195952591;2.0;3487.94218387036;0.0;0.0;85.0;314995.5703134265;7.0;32089.068091607314;9.0;36623.39293063878;14.0;44645.659953540606;2020-09-11 00:00:00
7;Internacional;Empresas Grandes I;0.0;0.0;20.0;171292.8406498734;4.0;11335.81209757867;0.0;0.0;57.0;1011049.8008385013;8.0;110916.56144707745;2.0;27903.53747096288;14.0;175896.92433258225;2020-09-11 00:00:00
8;Internacional;Empresas Grandes II;0.0;0.0;3.0;170909.16700964764;1.0;6975.88436774072;0.0;0.0;2.0;11161.414988385151;0.0;0.0;0.0;0.0;0.0;0.0;2020-09-11 00:00:00
9;Banco del Estado;Micro y Pequeñas Empresas;0.0;0.0;32417.0;15698615.834001856;12830.0;3931040.907074244;7996.0;6002999.832195101;126789.0;25978331.425312694;0.0;0.0;27452.0;11643939.921765456;12399.0;7677809.125433377;2020-09-11 00:00:00
10;Banco del Estado;Medianas Empresas;0.0;0.0;885.0;5305820.703099385;493.0;1222962.4511164902;369.0;1653988.6594791804;1862.0;5914473.403568862;0.0;0.0;465.0;2174211.866467621;562.0;2609027.1735111717;2020-09-11 00:00:00
11;Banco del Estado;Empresas Grandes I;0.0;0.0;279.0;5679041.656214466;181.0;4556789.4691352;61.0;599969.6549030003;747.0;12663739.61203619;0.0;0.0;116.0;2600576.370272966;129.0;1388106.8147414387;2020-09-11 00:00:00
12;Banco del Estado;Empresas Grandes II;0.0;0.0;10.0;244400.10882379612;60.0;4732017.871448402;6.0;52319.1327580554;97.0;4106393.660525563;0.0;0.0;2.0;247643.89505479558;25.0;237214.94792502318;2020-09-11 00:00:00
13;Scotiabank;Micro y Pequeñas Empresas;1036.0;1397785.033658642;29.0;12392.981004666866;83.0;55477.49412281742;10.0;6807.721432009543;2773.0;2725123.7559207818;529.0;309598.76990743;96.0;134454.42522200753;3648.0;2730410.065573313;2020-09-11 00:00:00
14;Scotiabank;Medianas Empresas;249.0;2500884.985699437;3.0;14788.874859610327;19.0;77534.1845191174;1.0;4778.480791902393;1091.0;6322328.342634512;25.0;212849.9129758425;22.0;219012.47043969;271.0;2202052.9024213296;2020-09-11 00:00:00
15;Scotiabank;Empresas Grandes I;87.0;1827716.5837699075;0.0;0.0;6.0;50640.00352282161;1.0;15695.73982741662;639.0;9292473.410021555;0.0;0.0;57.0;1586422.0863474966;40.0;792959.1527090847;2020-09-11 00:00:00
16;Scotiabank;Empresas Grandes II;14.0;502263.67447733186;0.0;0.0;1.0;26159.5663790277;0.0;0.0;73.0;2377917.372812188;0.0;0.0;9.0;568534.5759708687;3.0;45343.24839031468;2020-09-11 00:00:00
17;BCI;Micro y Pequeñas Empresas;0.0;0.0;1751.0;265578.74744508235;5386.0;3143208.029731219;0.0;0.0;16595.0;14826045.240772648;0.0;0.0;345.0;3487.9541823914724;1059.0;114736.97863984207;2020-09-11 00:00:00
18;BCI;Medianas Empresas;0.0;0.0;116.0;443212.81588548387;949.0;4181262.113971999;0.0;0.0;3167.0;16639495.870171815;0.0;0.0;122.0;32995.9372100648;135.0;575708.2646092458;2020-09-11 00:00:00
19;BCI;Empresas Grandes I;0.0;0.0;65.0;2143381.5256607905;237.0;3407062.76485689;0.0;0.0;1386.0;25493210.704634078;0.0;0.0;18.0;213462.06200166026;83.0;1987927.8919575028;2020-09-11 00:00:00
20;BCI;Empresas Grandes II;0.0;0.0;9.0;559710.0822456767;12.0;681254.6760050505;0.0;0.0;165.0;7866045.259468019;0.0;0.0;8.0;864451.5908504301;12.0;652433.5372616863;2020-09-11 00:00:00
21;BICE;Micro y Pequeñas Empresas;3.0;2040.4461775641607;56.0;53725.64544370113;67.0;52133.5742338735;0.0;0.0;178.0;163055.89078555434;0.0;0.0;0.0;0.0;18.0;14945.832257884493;2020-09-11 00:00:00
22;BICE;Medianas Empresas;2.0;14300.562953868477;19.0;140433.27217808037;22.0;98220.45189778935;0.0;0.0;114.0;422785.54038688255;0.0;0.0;0.0;0.0;8.0;37844.17269499341;2020-09-11 00:00:00
23;BICE;Empresas Grandes I;1.0;17439.7109193518;18.0;184337.74441754853;37.0;502054.39794629964;0.0;0.0;92.0;1047059.4484865819;0.0;0.0;0.0;0.0;4.0;20230.06466644809;2020-09-11 00:00:00
24;BICE;Empresas Grandes II;1.0;523.191327580554;4.0;84338.4420059853;9.0;166374.84217061618;0.0;0.0;14.0;402990.7709049815;0.0;0.0;0.0;0.0;1.0;5231.91327580554;2020-09-11 00:00:00
25;Santander;Micro y Pequeñas Empresas;0.0;0.0;0.0;0.0;10807.0;6299572.267580972;394.0;300944.9048140578;28964.0;19806752.745324414;0.0;0.0;1913.0;0.0;5937.0;2782934.4573110756;2020-09-11 00:00:00
26;Santander;Medianas Empresas;0.0;0.0;0.0;0.0;1509.0;6674347.580414507;46.0;227060.8506393398;4996.0;20911787.62774588;0.0;0.0;580.0;0.0;831.0;3039978.9119015564;2020-09-11 00:00:00
27;Santander;Empresas Grandes I;0.0;0.0;0.0;0.0;210.0;2420346.806091342;18.0;263454.5625771707;1638.0;21843348.331124302;0.0;0.0;204.0;0.0;191.0;3559517.3115639235;2020-09-11 00:00:00
28;Santander;Empresas Grandes II;0.0;0.0;0.0;0.0;3.0;155745.23372700575;1.0;69758.8436774072;146.0;3985128.7050665845;0.0;0.0;184.0;0.0;18.0;1136818.0416599815;2020-09-11 00:00:00
29;ITAU;Micro y Pequeñas Empresas;0.0;0.0;86.0;89067.77751811985;1505.0;1004787.5826467901;0.0;0.0;6357.0;5194613.133183585;0.0;0.0;514.0;525763.4076497548;2218.0;2182764.7150351238;2020-09-11 00:00:00
30;ITAU;Medianas Empresas;0.0;0.0;32.0;119760.43135380988;354.0;1278778.2919547125;0.0;0.0;2009.0;7305027.766670619;0.0;0.0;77.0;363294.7178254773;351.0;1594175.4966829668;2020-09-11 00:00:00
31;ITAU;Empresas Grandes I;0.0;0.0;17.0;162070.5819980328;166.0;2225684.8055821024;0.0;0.0;928.0;11060083.155506413;0.0;0.0;10.0;156178.8436774072;148.0;2797100.9105621865;2020-09-11 00:00:00
32;ITAU;Empresas Grandes II;0.0;0.0;0.0;0.0;12.0;242814.47286729774;0.0;0.0;60.0;2632379.2195380568;0.0;0.0;0.0;0.0;22.0;1178309.792048887;2020-09-11 00:00:00
33;Security;Micro y Pequeñas Empresas;3.0;7226.292247699702;25.0;41907.10912375916;57.0;36241.83246018514;43.0;53099.042490111686;103.0;76541.37526072368;39.0;102813.13042811002;21.0;48144.010122008214;300.0;479576.8161714951;2020-09-11 00:00:00
34;Security;Medianas Empresas;3.0;6703.601788616752;10.0;26771.68805937873;25.0;286166.5231145928;53.0;208133.12087114842;153.0;441102.2688017523;24.0;104232.21623846363;14.0;74584.30098150692;180.0;679781.7186486317;2020-09-11 00:00:00
35;Security;Empresas Grandes I;2.0;5938.829934914998;6.0;59798.48152437025;15.0;215975.57491751015;34.0;401944.37684424943;141.0;989935.1098701787;33.0;351581.7174976108;10.0;139163.36171355622;99.0;1235657.1410384302;2020-09-11 00:00:00
36;Security;Empresas Grandes II;1.0;52304.94143745073;1.0;87431.89796373935;1.0;30038.444098750617;3.0;33542.929243604856;15.0;220745.13955256678;8.0;307958.60691589175;0.0;0.0;8.0;174299.42693109918;2020-09-11 00:00:00
